obs_codes	obs_dates	obs_ws_table_h	obs_ws_table	obs_station_names	ecmwf_dates	ecmwf_ws_table_h	ecmwf_ws_table	ecmwf_station_names
642	2025-11-20	9	3.6	IOANNINA (AIRPORT)	2025-11-19	33	1.14267	IOANNINA (AIRPORT)
642	2025-11-21	9	2	IOANNINA (AIRPORT)	2025-11-20	33	1.96717	IOANNINA (AIRPORT)
642	2025-11-22	9	5	IOANNINA (AIRPORT)	2025-11-21	33	2.36588	IOANNINA (AIRPORT)
642	2025-11-23	9	4	IOANNINA (AIRPORT)	2025-11-22	33	1.53975	IOANNINA (AIRPORT)
642	2025-11-24	9	1	IOANNINA (AIRPORT)	2025-11-23	33	0.372735	IOANNINA (AIRPORT)
642	2025-11-25	9	1.5	IOANNINA (AIRPORT)	2025-11-24	33	2.51232	IOANNINA (AIRPORT)
642	2025-11-26	9	4.1	IOANNINA (AIRPORT)	2025-11-25	33	1.68403	IOANNINA (AIRPORT)
642	2025-11-27	9	4.1	IOANNINA (AIRPORT)	2025-11-26	33	0.966372	IOANNINA (AIRPORT)
642	2025-11-28	9	1	IOANNINA (AIRPORT)	2025-11-27	33	1.11896	IOANNINA (AIRPORT)
642	2025-11-29	9	2	IOANNINA (AIRPORT)	2025-11-28	33	0.364418	IOANNINA (AIRPORT)
642	2025-11-30	9	3	IOANNINA (AIRPORT)	2025-11-29	33	0.377862	IOANNINA (AIRPORT)
643	2025-11-02	9	3.1	AKTION (AIRPORT)	2025-11-01	33	0.593248	AKTION (AIRPORT)
643	2025-11-03	9	2.6	AKTION (AIRPORT)	2025-11-02	33	1.91409	AKTION (AIRPORT)
643	2025-11-04	9	0	AKTION (AIRPORT)	2025-11-03	33	1.21413	AKTION (AIRPORT)
643	2025-11-05	9	3.6	AKTION (AIRPORT)	2025-11-04	33	3.59575	AKTION (AIRPORT)
643	2025-11-06	9	4.1	AKTION (AIRPORT)	2025-11-05	33	2.81372	AKTION (AIRPORT)
643	2025-11-07	9	3.1	AKTION (AIRPORT)	2025-11-06	33	1.14835	AKTION (AIRPORT)
643	2025-11-08	9	1.5	AKTION (AIRPORT)	2025-11-07	33	3.69136	AKTION (AIRPORT)
643	2025-11-09	9	2.6	AKTION (AIRPORT)	2025-11-08	33	4.715	AKTION (AIRPORT)
643	2025-11-10	9	0	AKTION (AIRPORT)	2025-11-09	33	4.73062	AKTION (AIRPORT)
643	2025-11-11	9	0	AKTION (AIRPORT)	2025-11-10	33	1.08289	AKTION (AIRPORT)
643	2025-11-12	9	2.6	AKTION (AIRPORT)	2025-11-11	33	1.53416	AKTION (AIRPORT)
643	2025-11-13	9	3.1	AKTION (AIRPORT)	2025-11-12	33	1.00631	AKTION (AIRPORT)
643	2025-11-14	9	4.1	AKTION (AIRPORT)	2025-11-13	33	0.731175	AKTION (AIRPORT)
643	2025-11-15	9	3.6	AKTION (AIRPORT)	2025-11-14	33	0.700168	AKTION (AIRPORT)
643	2025-11-16	9	3.1	AKTION (AIRPORT)	2025-11-15	33	1.4226	AKTION (AIRPORT)
