obs_codes	obs_dates	obs_ws_table_h	obs_ws_table	obs_station_names	icon_dates	icon_ws_table_h	icon_ws_table	icon_station_names
624	2025-10-13	12	2.1	CHRYSOPOULI (AIRPORT)	2025-10-13	12	2.27036	CHRYSOPOULI (AIRPORT)
624	2025-10-14	12	3.1	CHRYSOPOULI (AIRPORT)	2025-10-14	12	2.8089	CHRYSOPOULI (AIRPORT)
624	2025-10-15	12	3.6	CHRYSOPOULI (AIRPORT)	2025-10-15	12	1.90801	CHRYSOPOULI (AIRPORT)
624	2025-10-16	12	4.6	CHRYSOPOULI (AIRPORT)	2025-10-16	12	4.68744	CHRYSOPOULI (AIRPORT)
624	2025-10-17	12	3.1	CHRYSOPOULI (AIRPORT)	2025-10-17	12	3.63737	CHRYSOPOULI (AIRPORT)
624	2025-10-18	12	0	CHRYSOPOULI (AIRPORT)	2025-10-18	12	2.56115	CHRYSOPOULI (AIRPORT)
624	2025-10-19	12	3.6	CHRYSOPOULI (AIRPORT)	2025-10-19	12	2.96987	CHRYSOPOULI (AIRPORT)
624	2025-10-20	12	3.6	CHRYSOPOULI (AIRPORT)	2025-10-20	12	1.63888	CHRYSOPOULI (AIRPORT)
624	2025-10-21	12	4.1	CHRYSOPOULI (AIRPORT)	2025-10-21	12	2.78575	CHRYSOPOULI (AIRPORT)
624	2025-10-22	12	1	CHRYSOPOULI (AIRPORT)	2025-10-22	12	2.2889	CHRYSOPOULI (AIRPORT)
624	2025-10-23	12	4.1	CHRYSOPOULI (AIRPORT)	2025-10-23	12	3.32914	CHRYSOPOULI (AIRPORT)
624	2025-10-24	12	0	CHRYSOPOULI (AIRPORT)	2025-10-24	12	2.53611	CHRYSOPOULI (AIRPORT)
624	2025-10-25	12	13	CHRYSOPOULI (AIRPORT)	2025-10-25	12	3.50597	CHRYSOPOULI (AIRPORT)
624	2025-10-26	12	2.1	CHRYSOPOULI (AIRPORT)	2025-10-26	12	2.45205	CHRYSOPOULI (AIRPORT)
624	2025-10-27	12	2.6	CHRYSOPOULI (AIRPORT)	2025-10-27	12	1.76559	CHRYSOPOULI (AIRPORT)
624	2025-10-28	12	4.6	CHRYSOPOULI (AIRPORT)	2025-10-28	12	1.02439	CHRYSOPOULI (AIRPORT)
624	2025-10-29	12	2.6	CHRYSOPOULI (AIRPORT)	2025-10-29	12	2.80766	CHRYSOPOULI (AIRPORT)
624	2025-10-30	12	3.1	CHRYSOPOULI (AIRPORT)	2025-10-30	12	2.12301	CHRYSOPOULI (AIRPORT)
624	2025-10-31	12	2.1	CHRYSOPOULI (AIRPORT)	2025-10-31	12	1.95265	CHRYSOPOULI (AIRPORT)
627	2025-10-01	12	6	ALEXANDROUPOLI (AIRPORT)	2025-10-01	12	4.29981	ALEXANDROUPOLI (AIRPORT)
627	2025-10-02	12	16	ALEXANDROUPOLI (AIRPORT)	2025-10-02	12	7.50619	ALEXANDROUPOLI (AIRPORT)
627	2025-10-03	12	5	ALEXANDROUPOLI (AIRPORT)	2025-10-03	12	1.60823	ALEXANDROUPOLI (AIRPORT)
627	2025-10-04	12	5	ALEXANDROUPOLI (AIRPORT)	2025-10-04	12	4.1099	ALEXANDROUPOLI (AIRPORT)
627	2025-10-05	12	10	ALEXANDROUPOLI (AIRPORT)	2025-10-05	12	3.41565	ALEXANDROUPOLI (AIRPORT)
627	2025-10-06	12	13	ALEXANDROUPOLI (AIRPORT)	2025-10-06	12	3.67697	ALEXANDROUPOLI (AIRPORT)
627	2025-10-07	12	0	ALEXANDROUPOLI (AIRPORT)	2025-10-07	12	3.11362	ALEXANDROUPOLI (AIRPORT)
627	2025-10-08	12	11	ALEXANDROUPOLI (AIRPORT)	2025-10-08	12	4.17677	ALEXANDROUPOLI (AIRPORT)
627	2025-10-09	12	10	ALEXANDROUPOLI (AIRPORT)	2025-10-09	12	5.25993	ALEXANDROUPOLI (AIRPORT)
627	2025-10-10	12	9	ALEXANDROUPOLI (AIRPORT)	2025-10-10	12	2.87123	ALEXANDROUPOLI (AIRPORT)
627	2025-10-11	12	8	ALEXANDROUPOLI (AIRPORT)	2025-10-11	12	5.84909	ALEXANDROUPOLI (AIRPORT)
627	2025-10-12	12	5	ALEXANDROUPOLI (AIRPORT)	2025-10-12	12	2.164	ALEXANDROUPOLI (AIRPORT)
627	2025-10-13	12	8	ALEXANDROUPOLI (AIRPORT)	2025-10-13	12	2.26494	ALEXANDROUPOLI (AIRPORT)
627	2025-10-14	12	7	ALEXANDROUPOLI (AIRPORT)	2025-10-14	12	4.08292	ALEXANDROUPOLI (AIRPORT)
627	2025-10-15	12	8	ALEXANDROUPOLI (AIRPORT)	2025-10-15	12	5.88764	ALEXANDROUPOLI (AIRPORT)
627	2025-10-16	12	13	ALEXANDROUPOLI (AIRPORT)	2025-10-16	12	7.45332	ALEXANDROUPOLI (AIRPORT)
627	2025-10-17	12	11	ALEXANDROUPOLI (AIRPORT)	2025-10-17	12	5.92363	ALEXANDROUPOLI (AIRPORT)
627	2025-10-18	12	8	ALEXANDROUPOLI (AIRPORT)	2025-10-18	12	2.88016	ALEXANDROUPOLI (AIRPORT)
627	2025-10-19	12	12	ALEXANDROUPOLI (AIRPORT)	2025-10-19	12	6.09558	ALEXANDROUPOLI (AIRPORT)
627	2025-10-20	12	6	ALEXANDROUPOLI (AIRPORT)	2025-10-20	12	1.87191	ALEXANDROUPOLI (AIRPORT)
627	2025-10-21	12	5	ALEXANDROUPOLI (AIRPORT)	2025-10-21	12	3.52091	ALEXANDROUPOLI (AIRPORT)
627	2025-10-22	12	6	ALEXANDROUPOLI (AIRPORT)	2025-10-22	12	2.81718	ALEXANDROUPOLI (AIRPORT)
627	2025-10-23	12	6	ALEXANDROUPOLI (AIRPORT)	2025-10-23	12	3.12108	ALEXANDROUPOLI (AIRPORT)
627	2025-10-24	12	12	ALEXANDROUPOLI (AIRPORT)	2025-10-24	12	8.12352	ALEXANDROUPOLI (AIRPORT)
627	2025-10-25	12	7	ALEXANDROUPOLI (AIRPORT)	2025-10-25	12	4.73599	ALEXANDROUPOLI (AIRPORT)
627	2025-10-26	12	5.1	ALEXANDROUPOLI (AIRPORT)	2025-10-26	12	6.03631	ALEXANDROUPOLI (AIRPORT)
627	2025-10-27	12	7.2	ALEXANDROUPOLI (AIRPORT)	2025-10-27	12	10.8131	ALEXANDROUPOLI (AIRPORT)
627	2025-10-28	12	8	ALEXANDROUPOLI (AIRPORT)	2025-10-28	12	6.18769	ALEXANDROUPOLI (AIRPORT)
627	2025-10-29	12	4.1	ALEXANDROUPOLI (AIRPORT)	2025-10-29	12	3.13365	ALEXANDROUPOLI (AIRPORT)
627	2025-10-30	12	4.1	ALEXANDROUPOLI (AIRPORT)	2025-10-30	12	2.6493	ALEXANDROUPOLI (AIRPORT)
627	2025-10-31	12	3.6	ALEXANDROUPOLI (AIRPORT)	2025-10-31	12	3.75345	ALEXANDROUPOLI (AIRPORT)
632	2025-10-01	12	2.1	KOZANI (AIRPORT)	2025-10-01	12	3.33818	KOZANI (AIRPORT)
632	2025-10-02	12	5.1	KOZANI (AIRPORT)	2025-10-02	12	4.24356	KOZANI (AIRPORT)
632	2025-10-03	12	4.1	KOZANI (AIRPORT)	2025-10-03	12	6.87904	KOZANI (AIRPORT)
632	2025-10-04	12	3.1	KOZANI (AIRPORT)	2025-10-04	12	1.16488	KOZANI (AIRPORT)
632	2025-10-05	12	1	KOZANI (AIRPORT)	2025-10-05	12	1.85777	KOZANI (AIRPORT)
632	2025-10-06	12	4.6	KOZANI (AIRPORT)	2025-10-06	12	2.10866	KOZANI (AIRPORT)
632	2025-10-07	12	5.7	KOZANI (AIRPORT)	2025-10-07	12	7.80985	KOZANI (AIRPORT)
632	2025-10-08	12	6.2	KOZANI (AIRPORT)	2025-10-08	12	8.93262	KOZANI (AIRPORT)
632	2025-10-09	12	4.6	KOZANI (AIRPORT)	2025-10-09	12	3.54686	KOZANI (AIRPORT)
632	2025-10-10	12	1.5	KOZANI (AIRPORT)	2025-10-10	12	0.939597	KOZANI (AIRPORT)
632	2025-10-11	12	7.2	KOZANI (AIRPORT)	2025-10-11	12	7.45675	KOZANI (AIRPORT)
632	2025-10-12	12	1	KOZANI (AIRPORT)	2025-10-12	12	2.22499	KOZANI (AIRPORT)
632	2025-10-13	12	2.6	KOZANI (AIRPORT)	2025-10-13	12	2.31215	KOZANI (AIRPORT)
632	2025-10-14	12	2.6	KOZANI (AIRPORT)	2025-10-14	12	1.3078	KOZANI (AIRPORT)
632	2025-10-15	12	1.5	KOZANI (AIRPORT)	2025-10-15	12	1.93412	KOZANI (AIRPORT)
632	2025-10-16	12	0	KOZANI (AIRPORT)	2025-10-16	12	2.39955	KOZANI (AIRPORT)
632	2025-10-17	12	1.5	KOZANI (AIRPORT)	2025-10-17	12	1.31377	KOZANI (AIRPORT)
632	2025-10-18	12	2.6	KOZANI (AIRPORT)	2025-10-18	12	2.55631	KOZANI (AIRPORT)
632	2025-10-19	12	4.1	KOZANI (AIRPORT)	2025-10-19	12	2.86149	KOZANI (AIRPORT)
632	2025-10-20	12	0.5	KOZANI (AIRPORT)	2025-10-20	12	1.71595	KOZANI (AIRPORT)
632	2025-10-21	12	2.6	KOZANI (AIRPORT)	2025-10-21	12	3.12782	KOZANI (AIRPORT)
632	2025-10-22	12	0.5	KOZANI (AIRPORT)	2025-10-22	12	2.21311	KOZANI (AIRPORT)
632	2025-10-23	12	2.6	KOZANI (AIRPORT)	2025-10-23	12	2.1786	KOZANI (AIRPORT)
632	2025-10-24	12	4.6	KOZANI (AIRPORT)	2025-10-24	12	4.08705	KOZANI (AIRPORT)
632	2025-10-25	12	3	KOZANI (AIRPORT)	2025-10-25	12	1.66232	KOZANI (AIRPORT)
632	2025-10-26	12	2.6	KOZANI (AIRPORT)	2025-10-26	12	3.84696	KOZANI (AIRPORT)
632	2025-10-27	12	1.5	KOZANI (AIRPORT)	2025-10-27	12	0.965872	KOZANI (AIRPORT)
632	2025-10-28	12	4.1	KOZANI (AIRPORT)	2025-10-28	12	1.5079	KOZANI (AIRPORT)
632	2025-10-29	12	1.5	KOZANI (AIRPORT)	2025-10-29	12	2.231	KOZANI (AIRPORT)
632	2025-10-30	12	1.5	KOZANI (AIRPORT)	2025-10-30	12	1.52003	KOZANI (AIRPORT)
632	2025-10-31	12	0	KOZANI (AIRPORT)	2025-10-31	12	0.810463	KOZANI (AIRPORT)
641	2025-10-01	12	2.6	KERKYRA (AIRPORT)	2025-10-01	12	2.51615	KERKYRA (AIRPORT)
641	2025-10-02	12	2.6	KERKYRA (AIRPORT)	2025-10-02	12	4.64009	KERKYRA (AIRPORT)
641	2025-10-03	12	7.2	KERKYRA (AIRPORT)	2025-10-03	12	3.22249	KERKYRA (AIRPORT)
641	2025-10-04	12	4.6	KERKYRA (AIRPORT)	2025-10-04	12	1.45017	KERKYRA (AIRPORT)
641	2025-10-05	12	7.2	KERKYRA (AIRPORT)	2025-10-05	12	6.86138	KERKYRA (AIRPORT)
641	2025-10-06	12	7.2	KERKYRA (AIRPORT)	2025-10-06	12	8.19642	KERKYRA (AIRPORT)
641	2025-10-07	12	9.3	KERKYRA (AIRPORT)	2025-10-07	12	7.15304	KERKYRA (AIRPORT)
641	2025-10-08	12	6.7	KERKYRA (AIRPORT)	2025-10-08	12	6.48145	KERKYRA (AIRPORT)
641	2025-10-09	12	2.6	KERKYRA (AIRPORT)	2025-10-09	12	2.45982	KERKYRA (AIRPORT)
641	2025-10-10	12	2.6	KERKYRA (AIRPORT)	2025-10-10	12	2.00444	KERKYRA (AIRPORT)
