obs_codes	obs_dates	obs_station_names	obs_tcc_table_h	obs_tcc_table	ecmwf_dates	ecmwf_tcc_table_h	ecmwf_tcc_table
648	2025-10-13	LARISSA (AIRPORT)	18	75	2025-10-13	18	99.9902
648	2025-10-14	LARISSA (AIRPORT)	18	13	2025-10-14	18	10.7383
648	2025-10-15	LARISSA (AIRPORT)	18	50	2025-10-15	18	98.3438
648	2025-10-16	LARISSA (AIRPORT)	18	75	2025-10-16	18	100
648	2025-10-17	LARISSA (AIRPORT)	18	88	2025-10-17	18	100
648	2025-10-18	LARISSA (AIRPORT)	18	38	2025-10-18	18	95.6875
648	2025-10-19	LARISSA (AIRPORT)	18	75	2025-10-19	18	32.9199
648	2025-10-20	LARISSA (AIRPORT)	18	88	2025-10-20	18	86.248
648	2025-10-21	LARISSA (AIRPORT)	18	63	2025-10-21	18	41.5469
648	2025-10-22	LARISSA (AIRPORT)	18	50	2025-10-22	18	63.6445
648	2025-10-23	LARISSA (AIRPORT)	18	38	2025-10-23	18	99.8223
648	2025-10-24	LARISSA (AIRPORT)	18	38	2025-10-24	18	0.015625
648	2025-10-25	LARISSA (AIRPORT)	18	25	2025-10-25	18	86.6816
648	2025-10-26	LARISSA (AIRPORT)	18	50	2025-10-26	18	27.6523
648	2025-10-27	LARISSA (AIRPORT)	18	38	2025-10-27	18	0.179688
648	2025-10-28	LARISSA (AIRPORT)	18	13	2025-10-28	18	16.6953
648	2025-10-29	LARISSA (AIRPORT)	18	0	2025-10-29	18	0
648	2025-10-30	LARISSA (AIRPORT)	18	38	2025-10-30	18	0
648	2025-10-31	LARISSA (AIRPORT)	18	75	2025-10-31	18	99.6973
650	2025-10-01	LIMNOS (AIRPORT)	18	75	2025-10-01	18	34.1836
650	2025-10-02	LIMNOS (AIRPORT)	18	100	2025-10-02	18	100
650	2025-10-03	LIMNOS (AIRPORT)	18	88	2025-10-03	18	58.9785
650	2025-10-04	LIMNOS (AIRPORT)	18	38	2025-10-04	18	0.00390625
650	2025-10-05	LIMNOS (AIRPORT)	18	38	2025-10-05	18	0
650	2025-10-06	LIMNOS (AIRPORT)	18	88	2025-10-06	18	99.9902
650	2025-10-07	LIMNOS (AIRPORT)	18	88	2025-10-07	18	87.0781
650	2025-10-08	LIMNOS (AIRPORT)	18	75	2025-10-08	18	0.964844
650	2025-10-09	LIMNOS (AIRPORT)	18	25	2025-10-09	18	1.95703
650	2025-10-10	LIMNOS (AIRPORT)	18	25	2025-10-10	18	31.5762
650	2025-10-11	LIMNOS (AIRPORT)	18	38	2025-10-11	18	7.03125
650	2025-10-12	LIMNOS (AIRPORT)	18	38	2025-10-12	18	0
650	2025-10-13	LIMNOS (AIRPORT)	18	38	2025-10-13	18	99.9629
650	2025-10-14	LIMNOS (AIRPORT)	18	0	2025-10-14	18	1.33008
650	2025-10-15	LIMNOS (AIRPORT)	18	38	2025-10-15	18	11.2305
650	2025-10-16	LIMNOS (AIRPORT)	18	75	2025-10-16	18	100
650	2025-10-17	LIMNOS (AIRPORT)	18	88	2025-10-17	18	93.8848
650	2025-10-18	LIMNOS (AIRPORT)	18	13	2025-10-18	18	0.240234
650	2025-10-19	LIMNOS (AIRPORT)	18	38	2025-10-19	18	1.49805
650	2025-10-20	LIMNOS (AIRPORT)	18	38	2025-10-20	18	0.736328
650	2025-10-21	LIMNOS (AIRPORT)	18	75	2025-10-21	18	99.334
650	2025-10-22	LIMNOS (AIRPORT)	18	75	2025-10-22	18	96.8594
650	2025-10-23	LIMNOS (AIRPORT)	18	25	2025-10-23	18	20.0898
650	2025-10-24	LIMNOS (AIRPORT)	18	25	2025-10-24	18	1.04102
650	2025-10-25	LIMNOS (AIRPORT)	18	38	2025-10-25	18	1.49805
650	2025-10-26	LIMNOS (AIRPORT)	18	75	2025-10-26	18	1.10742
650	2025-10-27	LIMNOS (AIRPORT)	18	38	2025-10-27	18	0.28125
650	2025-10-28	LIMNOS (AIRPORT)	18	13	2025-10-28	18	1.65625
650	2025-10-29	LIMNOS (AIRPORT)	18	0	2025-10-29	18	0
650	2025-10-30	LIMNOS (AIRPORT)	18	25	2025-10-30	18	38.9434
650	2025-10-31	LIMNOS (AIRPORT)	18	50	2025-10-31	18	100
667	2025-10-01	MYTILINI (AIRPORT)	18	25	2025-10-01	18	2.12109
667	2025-10-02	MYTILINI (AIRPORT)	18	100	2025-10-02	18	66.5859
667	2025-10-03	MYTILINI (AIRPORT)	18	38	2025-10-03	18	37.748
667	2025-10-04	MYTILINI (AIRPORT)	18	25	2025-10-04	18	4.26367
667	2025-10-05	MYTILINI (AIRPORT)	18	25	2025-10-05	18	0.5
667	2025-10-06	MYTILINI (AIRPORT)	18	100	2025-10-06	18	100
667	2025-10-07	MYTILINI (AIRPORT)	18	50	2025-10-07	18	31.6836
667	2025-10-08	MYTILINI (AIRPORT)	18	63	2025-10-08	18	82.3203
667	2025-10-09	MYTILINI (AIRPORT)	18	25	2025-10-09	18	0.00585938
667	2025-10-10	MYTILINI (AIRPORT)	18	13	2025-10-10	18	46.0215
667	2025-10-11	MYTILINI (AIRPORT)	18	88	2025-10-11	18	100
667	2025-10-12	MYTILINI (AIRPORT)	18	13	2025-10-12	18	0
667	2025-10-13	MYTILINI (AIRPORT)	18	50	2025-10-13	18	89.1875
667	2025-10-14	MYTILINI (AIRPORT)	18	25	2025-10-14	18	1.57227
667	2025-10-15	MYTILINI (AIRPORT)	18	38	2025-10-15	18	1.51953
667	2025-10-16	MYTILINI (AIRPORT)	18	50	2025-10-16	18	3.00391
667	2025-10-17	MYTILINI (AIRPORT)	18	75	2025-10-17	18	31.5273
667	2025-10-18	MYTILINI (AIRPORT)	18	75	2025-10-18	18	2.51172
667	2025-10-19	MYTILINI (AIRPORT)	18	100	2025-10-19	18	41.1406
