obs_codes	obs_dates	obs_station_names	obs_tcc_table_h	obs_tcc_table	icon_dates	icon_tcc_table_h	icon_tcc_table
643	2025-11-19	AKTION (AIRPORT)	18	88	2025-11-19	18	100
643	2025-11-20	AKTION (AIRPORT)	18	38	2025-11-20	18	86.166
643	2025-11-21	AKTION (AIRPORT)	18	88	2025-11-21	18	25.1211
643	2025-11-22	AKTION (AIRPORT)	18	63	2025-11-22	18	76.5879
643	2025-11-23	AKTION (AIRPORT)	18	25	2025-11-23	18	61.7578
643	2025-11-24	AKTION (AIRPORT)	18	50	2025-11-24	18	100
643	2025-11-25	AKTION (AIRPORT)	18	88	2025-11-25	18	100
643	2025-11-26	AKTION (AIRPORT)	18	75	2025-11-26	18	100
643	2025-11-27	AKTION (AIRPORT)	18	88	2025-11-27	18	100
643	2025-11-28	AKTION (AIRPORT)	18	75	2025-11-28	18	100
643	2025-11-29	AKTION (AIRPORT)	18	88	2025-11-29	18	100
643	2025-11-30	AKTION (AIRPORT)	18	38	2025-11-30	18	89.1602
648	2025-11-01	LARISSA (AIRPORT)	18	25	2025-11-01	18	100
648	2025-11-02	LARISSA (AIRPORT)	18	25	2025-11-02	18	99.7207
648	2025-11-03	LARISSA (AIRPORT)	18	63	2025-11-03	18	95.5684
648	2025-11-04	LARISSA (AIRPORT)	18	88	2025-11-04	18	100
648	2025-11-05	LARISSA (AIRPORT)	18	75	2025-11-05	18	98.4668
648	2025-11-06	LARISSA (AIRPORT)	18	88	2025-11-06	18	84.5332
648	2025-11-07	LARISSA (AIRPORT)	18	63	2025-11-07	18	87
648	2025-11-08	LARISSA (AIRPORT)	18	75	2025-11-08	18	100
648	2025-11-09	LARISSA (AIRPORT)	18	50	2025-11-09	18	100
648	2025-11-10	LARISSA (AIRPORT)	18	50	2025-11-10	18	10.4746
648	2025-11-11	LARISSA (AIRPORT)	18	38	2025-11-11	18	27.9082
648	2025-11-12	LARISSA (AIRPORT)	18	0	2025-11-12	18	0
648	2025-11-13	LARISSA (AIRPORT)	18	50	2025-11-13	18	0
648	2025-11-14	LARISSA (AIRPORT)	18	0	2025-11-14	18	0
648	2025-11-15	LARISSA (AIRPORT)	18	13	2025-11-15	18	99.5059
648	2025-11-16	LARISSA (AIRPORT)	18	0	2025-11-16	18	78.957
648	2025-11-17	LARISSA (AIRPORT)	18	75	2025-11-17	18	100
648	2025-11-18	LARISSA (AIRPORT)	18	63	2025-11-18	18	100
648	2025-11-19	LARISSA (AIRPORT)	18	63	2025-11-19	18	100
648	2025-11-20	LARISSA (AIRPORT)	18	63	2025-11-20	18	100
648	2025-11-21	LARISSA (AIRPORT)	18	88	2025-11-21	18	100
648	2025-11-22	LARISSA (AIRPORT)	18	63	2025-11-22	18	65.7227
648	2025-11-23	LARISSA (AIRPORT)	18	38	2025-11-23	18	0
648	2025-11-24	LARISSA (AIRPORT)	18	25	2025-11-24	18	100
648	2025-11-25	LARISSA (AIRPORT)	18	75	2025-11-25	18	100
648	2025-11-26	LARISSA (AIRPORT)	18	75	2025-11-26	18	96.377
648	2025-11-27	LARISSA (AIRPORT)	18	75	2025-11-27	18	100
648	2025-11-28	LARISSA (AIRPORT)	18	50	2025-11-28	18	100
648	2025-11-29	LARISSA (AIRPORT)	18	75	2025-11-29	18	85.3574
648	2025-11-30	LARISSA (AIRPORT)	18	38	2025-11-30	18	4.32031
650	2025-11-01	LIMNOS (AIRPORT)	18	88	2025-11-01	18	98.2031
650	2025-11-02	LIMNOS (AIRPORT)	18	13	2025-11-02	18	100
650	2025-11-03	LIMNOS (AIRPORT)	18	25	2025-11-03	18	95.1816
650	2025-11-04	LIMNOS (AIRPORT)	18	88	2025-11-04	18	100
650	2025-11-05	LIMNOS (AIRPORT)	18	88	2025-11-05	18	99.0508
650	2025-11-06	LIMNOS (AIRPORT)	18	88	2025-11-06	18	90.082
650	2025-11-07	LIMNOS (AIRPORT)	18	75	2025-11-07	18	52.2441
650	2025-11-08	LIMNOS (AIRPORT)	18	75	2025-11-08	18	100
650	2025-11-09	LIMNOS (AIRPORT)	18	50	2025-11-09	18	99.041
650	2025-11-10	LIMNOS (AIRPORT)	18	63	2025-11-10	18	100
650	2025-11-11	LIMNOS (AIRPORT)	18	13	2025-11-11	18	74.2109
650	2025-11-12	LIMNOS (AIRPORT)	18	25	2025-11-12	18	100
650	2025-11-13	LIMNOS (AIRPORT)	18	50	2025-11-13	18	0
650	2025-11-14	LIMNOS (AIRPORT)	18	13	2025-11-14	18	6.15625
650	2025-11-15	LIMNOS (AIRPORT)	18	25	2025-11-15	18	28.5918
650	2025-11-16	LIMNOS (AIRPORT)	18	25	2025-11-16	18	52.7109
650	2025-11-17	LIMNOS (AIRPORT)	18	75	2025-11-17	18	99.6367
650	2025-11-18	LIMNOS (AIRPORT)	18	75	2025-11-18	18	100
650	2025-11-19	LIMNOS (AIRPORT)	18	88	2025-11-19	18	100
650	2025-11-20	LIMNOS (AIRPORT)	18	63	2025-11-20	18	96.248
650	2025-11-21	LIMNOS (AIRPORT)	18	88	2025-11-21	18	100
650	2025-11-22	LIMNOS (AIRPORT)	18	75	2025-11-22	18	100
650	2025-11-23	LIMNOS (AIRPORT)	18	13	2025-11-23	18	18.6621
650	2025-11-24	LIMNOS (AIRPORT)	18	0	2025-11-24	18	0
650	2025-11-25	LIMNOS (AIRPORT)	18	63	2025-11-25	18	99.959
650	2025-11-26	LIMNOS (AIRPORT)	18	75	2025-11-26	18	61.1406
650	2025-11-27	LIMNOS (AIRPORT)	18	100	2025-11-27	18	100
650	2025-11-28	LIMNOS (AIRPORT)	18	88	2025-11-28	18	96.8516
650	2025-11-29	LIMNOS (AIRPORT)	18	38	2025-11-29	18	4.13281
650	2025-11-30	LIMNOS (AIRPORT)	18	25	2025-11-30	18	59.457
667	2025-11-01	MYTILINI (AIRPORT)	18	38	2025-11-01	18	100
667	2025-11-02	MYTILINI (AIRPORT)	18	38	2025-11-02	18	18.0957
667	2025-11-03	MYTILINI (AIRPORT)	18	38	2025-11-03	18	0
667	2025-11-04	MYTILINI (AIRPORT)	18	88	2025-11-04	18	100
667	2025-11-05	MYTILINI (AIRPORT)	18	88	2025-11-05	18	100
667	2025-11-06	MYTILINI (AIRPORT)	18	38	2025-11-06	18	63.7891
667	2025-11-07	MYTILINI (AIRPORT)	18	50	2025-11-07	18	24.6406
667	2025-11-08	MYTILINI (AIRPORT)	18	50	2025-11-08	18	45.8926
667	2025-11-09	MYTILINI (AIRPORT)	18	38	2025-11-09	18	1.23047
667	2025-11-10	MYTILINI (AIRPORT)	18	75	2025-11-10	18	100
667	2025-11-11	MYTILINI (AIRPORT)	18	50	2025-11-11	18	42.9355
667	2025-11-12	MYTILINI (AIRPORT)	18	25	2025-11-12	18	31.2109
667	2025-11-13	MYTILINI (AIRPORT)	18	25	2025-11-13	18	0
667	2025-11-14	MYTILINI (AIRPORT)	18	0	2025-11-14	18	1.13477
667	2025-11-15	MYTILINI (AIRPORT)	18	0	2025-11-15	18	8.49023
667	2025-11-16	MYTILINI (AIRPORT)	18	0	2025-11-16	18	0
667	2025-11-17	MYTILINI (AIRPORT)	18	38	2025-11-17	18	61.9277
667	2025-11-18	MYTILINI (AIRPORT)	18	50	2025-11-18	18	100
667	2025-11-19	MYTILINI (AIRPORT)	18	75	2025-11-19	18	100
667	2025-11-20	MYTILINI (AIRPORT)	18	38	2025-11-20	18	38.8926
667	2025-11-21	MYTILINI (AIRPORT)	18	63	2025-11-21	18	100
667	2025-11-22	MYTILINI (AIRPORT)	18	63	2025-11-22	18	100
667	2025-11-23	MYTILINI (AIRPORT)	18	75	2025-11-23	18	51.5488
667	2025-11-24	MYTILINI (AIRPORT)	18	25	2025-11-24	18	3.57812
667	2025-11-25	MYTILINI (AIRPORT)	18	75	2025-11-25	18	93.2969
667	2025-11-26	MYTILINI (AIRPORT)	18	75	2025-11-26	18	100
667	2025-11-27	MYTILINI (AIRPORT)	18	75	2025-11-27	18	100
667	2025-11-28	MYTILINI (AIRPORT)	18	100	2025-11-28	18	100
667	2025-11-29	MYTILINI (AIRPORT)	18	88	2025-11-29	18	100
667	2025-11-30	MYTILINI (AIRPORT)	18	25	2025-11-30	18	38.8184
682	2025-11-01	ANDRAVIDA (AIRPORT)	18	50	2025-11-01	18	100
682	2025-11-02	ANDRAVIDA (AIRPORT)	18	13	2025-11-02	18	83.5645
682	2025-11-03	ANDRAVIDA (AIRPORT)	18	75	2025-11-03	18	100
682	2025-11-04	ANDRAVIDA (AIRPORT)	18	75	2025-11-04	18	100
682	2025-11-05	ANDRAVIDA (AIRPORT)	18	38	2025-11-05	18	97.1094
682	2025-11-06	ANDRAVIDA (AIRPORT)	18	25	2025-11-06	18	0
682	2025-11-07	ANDRAVIDA (AIRPORT)	18	25	2025-11-07	18	100
682	2025-11-08	ANDRAVIDA (AIRPORT)	18	75	2025-11-08	18	100
682	2025-11-09	ANDRAVIDA (AIRPORT)	18	88	2025-11-09	18	100
682	2025-11-10	ANDRAVIDA (AIRPORT)	18	50	2025-11-10	18	90.207
682	2025-11-11	ANDRAVIDA (AIRPORT)	18	25	2025-11-11	18	45.2012
682	2025-11-12	ANDRAVIDA (AIRPORT)	18	25	2025-11-12	18	14.4883
682	2025-11-13	ANDRAVIDA (AIRPORT)	18	38	2025-11-13	18	93.8672
682	2025-11-14	ANDRAVIDA (AIRPORT)	18	13	2025-11-14	18	69.4727
682	2025-11-15	ANDRAVIDA (AIRPORT)	18	50	2025-11-15	18	100
682	2025-11-16	ANDRAVIDA (AIRPORT)	18	0	2025-11-16	18	0
682	2025-11-17	ANDRAVIDA (AIRPORT)	18	75	2025-11-17	18	100
682	2025-11-18	ANDRAVIDA (AIRPORT)	18	75	2025-11-18	18	100
682	2025-11-19	ANDRAVIDA (AIRPORT)	18	75	2025-11-19	18	100
682	2025-11-20	ANDRAVIDA (AIRPORT)	18	38	2025-11-20	18	98.1309
682	2025-11-22	ANDRAVIDA (AIRPORT)	18	63	2025-11-22	18	75.3047
682	2025-11-23	ANDRAVIDA (AIRPORT)	18	38	2025-11-23	18	16.1621
682	2025-11-24	ANDRAVIDA (AIRPORT)	18	38	2025-11-24	18	88.4453
682	2025-11-25	ANDRAVIDA (AIRPORT)	18	63	2025-11-25	18	99.9492
682	2025-11-26	ANDRAVIDA (AIRPORT)	18	75	2025-11-26	18	100
682	2025-11-27	ANDRAVIDA (AIRPORT)	18	88	2025-11-27	18	99.7988
682	2025-11-28	ANDRAVIDA (AIRPORT)	18	88	2025-11-28	18	100
682	2025-11-29	ANDRAVIDA (AIRPORT)	18	75	2025-11-29	18	100
682	2025-11-30	ANDRAVIDA (AIRPORT)	18	38	2025-11-30	18	63.3848
684	2025-11-01	SKYROS (AIRPORT)	18	50	2025-11-01	18	61.6562
684	2025-11-02	SKYROS (AIRPORT)	18	38	2025-11-02	18	84.4668
684	2025-11-03	SKYROS (AIRPORT)	18	38	2025-11-03	18	66.3262
684	2025-11-04	SKYROS (AIRPORT)	18	88	2025-11-04	18	100
684	2025-11-05	SKYROS (AIRPORT)	18	100	2025-11-05	18	100
684	2025-11-06	SKYROS (AIRPORT)	18	88	2025-11-06	18	88.1074
684	2025-11-07	SKYROS (AIRPORT)	18	25	2025-11-07	18	45.6211
684	2025-11-08	SKYROS (AIRPORT)	18	88	2025-11-08	18	100
684	2025-11-09	SKYROS (AIRPORT)	18	63	2025-11-09	18	100
684	2025-11-10	SKYROS (AIRPORT)	18	75	2025-11-10	18	100
684	2025-11-11	SKYROS (AIRPORT)	18	13	2025-11-11	18	9.74805
684	2025-11-12	SKYROS (AIRPORT)	18	25	2025-11-12	18	89.459
684	2025-11-13	SKYROS (AIRPORT)	18	50	2025-11-13	18	46.3672
684	2025-11-14	SKYROS (AIRPORT)	18	0	2025-11-14	18	5.95508
684	2025-11-15	SKYROS (AIRPORT)	18	25	2025-11-15	18	0.173828
684	2025-11-16	SKYROS (AIRPORT)	18	25	2025-11-16	18	0
684	2025-11-17	SKYROS (AIRPORT)	18	63	2025-11-17	18	94.0059
684	2025-11-18	SKYROS (AIRPORT)	18	75	2025-11-18	18	100
684	2025-11-19	SKYROS (AIRPORT)	18	75	2025-11-19	18	100
684	2025-11-20	SKYROS (AIRPORT)	18	38	2025-11-20	18	79.8594
684	2025-11-21	SKYROS (AIRPORT)	18	75	2025-11-21	18	100
684	2025-11-22	SKYROS (AIRPORT)	18	75	2025-11-22	18	100
684	2025-11-23	SKYROS (AIRPORT)	18	50	2025-11-23	18	1.76172
684	2025-11-24	SKYROS (AIRPORT)	18	25	2025-11-24	18	0
684	2025-11-25	SKYROS (AIRPORT)	18	75	2025-11-25	18	36.9258
684	2025-11-26	SKYROS (AIRPORT)	18	63	2025-11-26	18	100
684	2025-11-27	SKYROS (AIRPORT)	18	88	2025-11-27	18	100
684	2025-11-28	SKYROS (AIRPORT)	18	88	2025-11-28	18	100
684	2025-11-29	SKYROS (AIRPORT)	18	38	2025-11-29	18	61.0859
684	2025-11-30	SKYROS (AIRPORT)	18	25	2025-11-30	18	24.041
685	2025-11-01	KEFALHNIA (AIRPORT)	18	63	2025-11-01	18	99.9434
685	2025-11-02	KEFALHNIA (AIRPORT)	18	25	2025-11-02	18	77.8711
