obs_codes	obs_dates	obs_station_names	obs_mslp_table_h	obs_mslp_table	ecmwf_dates	ecmwf_mslp_table_h	ecmwf_mslp_table
641	2025-11-27	KERKYRA (AIRPORT)	0	1006.5	2025-11-25	48	1008.13
641	2025-11-28	KERKYRA (AIRPORT)	0	1010	2025-11-26	48	1010.41
641	2025-11-29	KERKYRA (AIRPORT)	0	1008.9	2025-11-27	48	1010.23
641	2025-11-30	KERKYRA (AIRPORT)	0	1011.4	2025-11-28	48	1012.5
642	2025-11-03	IOANNINA (AIRPORT)	0	1021.6	2025-11-01	48	1019.72
642	2025-11-04	IOANNINA (AIRPORT)	0	1019.3	2025-11-02	48	1018.76
642	2025-11-05	IOANNINA (AIRPORT)	0	1021.3	2025-11-03	48	1019.85
642	2025-11-06	IOANNINA (AIRPORT)	0	1019.9	2025-11-04	48	1018.24
642	2025-11-07	IOANNINA (AIRPORT)	0	1015.6	2025-11-05	48	1015.22
642	2025-11-08	IOANNINA (AIRPORT)	0	1014.8	2025-11-06	48	1014.11
642	2025-11-09	IOANNINA (AIRPORT)	0	1018.5	2025-11-07	48	1017.19
642	2025-11-10	IOANNINA (AIRPORT)	0	1015.3	2025-11-08	48	1014.93
642	2025-11-11	IOANNINA (AIRPORT)	0	1016.3	2025-11-09	48	1014.49
642	2025-11-12	IOANNINA (AIRPORT)	0	1022	2025-11-10	48	1019.98
642	2025-11-13	IOANNINA (AIRPORT)	0	1026.6	2025-11-11	48	1023.39
642	2025-11-14	IOANNINA (AIRPORT)	0	1026.8	2025-11-12	48	1023.9
642	2025-11-15	IOANNINA (AIRPORT)	0	1024.4	2025-11-13	48	1021.74
642	2025-11-16	IOANNINA (AIRPORT)	0	1022.2	2025-11-14	48	1019.65
642	2025-11-17	IOANNINA (AIRPORT)	0	1023.4	2025-11-15	48	1019.84
642	2025-11-18	IOANNINA (AIRPORT)	0	1017.4	2025-11-16	48	1016.55
642	2025-11-19	IOANNINA (AIRPORT)	0	1015.2	2025-11-17	48	1016.3
642	2025-11-20	IOANNINA (AIRPORT)	0	1016.3	2025-11-18	48	1016.01
642	2025-11-21	IOANNINA (AIRPORT)	0	1012.4	2025-11-19	48	1010.02
642	2025-11-22	IOANNINA (AIRPORT)	0	1014	2025-11-20	48	1013.14
642	2025-11-23	IOANNINA (AIRPORT)	0	1016.2	2025-11-21	48	1016.29
