obs_codes	obs_dates	obs_station_names	obs_mslp_table_h	obs_mslp_table	icon_dates	icon_mslp_table_h	icon_mslp_table
641	2025-11-29	KERKYRA (AIRPORT)	21	1010.6	2025-11-28	45	1011.99
641	2025-11-30	KERKYRA (AIRPORT)	21	1017.3	2025-11-29	45	1018.36
642	2025-11-02	IOANNINA (AIRPORT)	21	1021.6	2025-11-01	45	1020.32
642	2025-11-03	IOANNINA (AIRPORT)	21	1019.9	2025-11-02	45	1019.38
642	2025-11-04	IOANNINA (AIRPORT)	21	1020.9	2025-11-03	45	1019.71
642	2025-11-05	IOANNINA (AIRPORT)	21	1019.4	2025-11-04	45	1019.12
642	2025-11-06	IOANNINA (AIRPORT)	21	1015.7	2025-11-05	45	1015.43
642	2025-11-07	IOANNINA (AIRPORT)	21	1015.3	2025-11-06	45	1015.1
642	2025-11-08	IOANNINA (AIRPORT)	21	1018.5	2025-11-07	45	1018.21
642	2025-11-09	IOANNINA (AIRPORT)	21	1017.6	2025-11-08	45	1016.04
642	2025-11-10	IOANNINA (AIRPORT)	21	1015.4	2025-11-09	45	1014.54
642	2025-11-11	IOANNINA (AIRPORT)	21	1020.8	2025-11-10	45	1019.47
642	2025-11-12	IOANNINA (AIRPORT)	21	1026.2	2025-11-11	45	1023.67
642	2025-11-13	IOANNINA (AIRPORT)	21	1026.5	2025-11-12	45	1024.52
642	2025-11-14	IOANNINA (AIRPORT)	21	1024.3	2025-11-13	45	1022.42
642	2025-11-15	IOANNINA (AIRPORT)	21	1021.3	2025-11-14	45	1019.92
642	2025-11-16	IOANNINA (AIRPORT)	21	1023.5	2025-11-15	45	1021.47
642	2025-11-17	IOANNINA (AIRPORT)	21	1018.8	2025-11-16	45	1018.18
642	2025-11-18	IOANNINA (AIRPORT)	21	1016.2	2025-11-17	45	1016.71
642	2025-11-19	IOANNINA (AIRPORT)	21	1016.8	2025-11-18	45	1015.84
642	2025-11-20	IOANNINA (AIRPORT)	21	1014.7	2025-11-19	45	1013.8
642	2025-11-21	IOANNINA (AIRPORT)	21	1014.1	2025-11-20	45	1013.41
642	2025-11-22	IOANNINA (AIRPORT)	21	1016.4	2025-11-21	45	1015.97
642	2025-11-23	IOANNINA (AIRPORT)	21	1022.1	2025-11-22	45	1021.78
642	2025-11-24	IOANNINA (AIRPORT)	21	1021.9	2025-11-23	45	1020.67
642	2025-11-25	IOANNINA (AIRPORT)	21	1012	2025-11-24	45	1012.01
642	2025-11-26	IOANNINA (AIRPORT)	21	1009.5	2025-11-25	45	1009.76
642	2025-11-27	IOANNINA (AIRPORT)	21	1014.2	2025-11-26	45	1011.19
642	2025-11-28	IOANNINA (AIRPORT)	21	1012.3	2025-11-27	45	1012.02
642	2025-11-29	IOANNINA (AIRPORT)	21	1012.8	2025-11-28	45	1012.68
642	2025-11-30	IOANNINA (AIRPORT)	21	1020	2025-11-29	45	1019.18
643	2025-11-02	AKTION (AIRPORT)	21	1019.6	2025-11-01	45	1019.45
643	2025-11-03	AKTION (AIRPORT)	21	1018.9	2025-11-02	45	1018.74
643	2025-11-04	AKTION (AIRPORT)	21	1018.3	2025-11-03	45	1018.66
643	2025-11-05	AKTION (AIRPORT)	21	1017.2	2025-11-04	45	1017.28
643	2025-11-06	AKTION (AIRPORT)	21	1014.4	2025-11-05	45	1014.6
643	2025-11-07	AKTION (AIRPORT)	21	1014.5	2025-11-06	45	1014.45
643	2025-11-08	AKTION (AIRPORT)	21	1016.1	2025-11-07	45	1017.33
643	2025-11-09	AKTION (AIRPORT)	21	1014.7	2025-11-08	45	1015.08
643	2025-11-10	AKTION (AIRPORT)	21	1014.4	2025-11-09	45	1014.09
643	2025-11-11	AKTION (AIRPORT)	21	1018.7	2025-11-10	45	1018.32
643	2025-11-12	AKTION (AIRPORT)	21	1022.6	2025-11-11	45	1022.22
643	2025-11-13	AKTION (AIRPORT)	21	1023	2025-11-12	45	1023.08
643	2025-11-14	AKTION (AIRPORT)	21	1021.3	2025-11-13	45	1021.33
643	2025-11-15	AKTION (AIRPORT)	21	1018.8	2025-11-14	45	1019
643	2025-11-16	AKTION (AIRPORT)	21	1021	2025-11-15	45	1020.41
643	2025-11-17	AKTION (AIRPORT)	21	1017.8	2025-11-16	45	1016.86
643	2025-11-18	AKTION (AIRPORT)	21	1015.8	2025-11-17	45	1015.99
643	2025-11-19	AKTION (AIRPORT)	21	1015	2025-11-18	45	1014.9
643	2025-11-20	AKTION (AIRPORT)	21	1013.2	2025-11-19	45	1012.64
643	2025-11-21	AKTION (AIRPORT)	21	1013.5	2025-11-20	45	1013.29
643	2025-11-22	AKTION (AIRPORT)	21	1016	2025-11-21	45	1016.09
643	2025-11-23	AKTION (AIRPORT)	21	1020.4	2025-11-22	45	1020.8
643	2025-11-24	AKTION (AIRPORT)	21	1019.4	2025-11-23	45	1019.61
643	2025-11-25	AKTION (AIRPORT)	21	1011.7	2025-11-24	45	1011.83
643	2025-11-26	AKTION (AIRPORT)	21	1008.2	2025-11-25	45	1009.12
643	2025-11-27	AKTION (AIRPORT)	21	1012.1	2025-11-26	45	1010.88
643	2025-11-28	AKTION (AIRPORT)	21	1010.8	2025-11-27	45	1011.42
643	2025-11-29	AKTION (AIRPORT)	21	1011.6	2025-11-28	45	1012.02
