obs_codes	obs_dates	obs_station_names	obs_tcc_table_h	obs_tcc_table	ecmwf_dates	ecmwf_tcc_table_h	ecmwf_tcc_table
642	2025-11-04	IOANNINA (AIRPORT)	6	88	2025-11-04	6	98.0996
642	2025-11-06	IOANNINA (AIRPORT)	6	25	2025-11-06	6	74.9199
642	2025-11-07	IOANNINA (AIRPORT)	6	75	2025-11-07	6	87.2109
642	2025-11-08	IOANNINA (AIRPORT)	6	75	2025-11-08	6	99.2715
642	2025-11-09	IOANNINA (AIRPORT)	6	100	2025-11-09	6	99.375
642	2025-11-10	IOANNINA (AIRPORT)	6	88	2025-11-10	6	99.918
642	2025-11-17	IOANNINA (AIRPORT)	6	25	2025-11-17	6	67.7344
642	2025-11-18	IOANNINA (AIRPORT)	6	100	2025-11-18	6	99.625
642	2025-11-19	IOANNINA (AIRPORT)	6	88	2025-11-19	6	100
642	2025-11-20	IOANNINA (AIRPORT)	6	100	2025-11-20	6	79.2266
642	2025-11-21	IOANNINA (AIRPORT)	6	88	2025-11-21	6	98.4414
642	2025-11-22	IOANNINA (AIRPORT)	6	88	2025-11-22	6	77.207
642	2025-11-23	IOANNINA (AIRPORT)	6	88	2025-11-23	6	96.334
642	2025-11-25	IOANNINA (AIRPORT)	6	88	2025-11-25	6	100
642	2025-11-26	IOANNINA (AIRPORT)	6	88	2025-11-26	6	99.957
642	2025-11-27	IOANNINA (AIRPORT)	6	100	2025-11-27	6	99.9844
642	2025-11-28	IOANNINA (AIRPORT)	6	100	2025-11-28	6	94.3848
642	2025-11-29	IOANNINA (AIRPORT)	6	88	2025-11-29	6	100
642	2025-11-30	IOANNINA (AIRPORT)	6	88	2025-11-30	6	86.793
643	2025-11-01	AKTION (AIRPORT)	6	63	2025-11-01	6	60.166
643	2025-11-02	AKTION (AIRPORT)	6	25	2025-11-02	6	7.45508
643	2025-11-03	AKTION (AIRPORT)	6	63	2025-11-03	6	100
643	2025-11-04	AKTION (AIRPORT)	6	88	2025-11-04	6	68.3223
643	2025-11-05	AKTION (AIRPORT)	6	38	2025-11-05	6	9.84766
643	2025-11-06	AKTION (AIRPORT)	6	0	2025-11-06	6	0.476562
643	2025-11-07	AKTION (AIRPORT)	6	38	2025-11-07	6	63.0859
643	2025-11-08	AKTION (AIRPORT)	6	88	2025-11-08	6	99.0488
643	2025-11-09	AKTION (AIRPORT)	6	63	2025-11-09	6	93.873
643	2025-11-10	AKTION (AIRPORT)	6	88	2025-11-10	6	99.793
643	2025-11-11	AKTION (AIRPORT)	6	63	2025-11-11	6	41.3828
643	2025-11-12	AKTION (AIRPORT)	6	25	2025-11-12	6	73.5527
643	2025-11-13	AKTION (AIRPORT)	6	0	2025-11-13	6	5.5
643	2025-11-14	AKTION (AIRPORT)	6	13	2025-11-14	6	8.79883
643	2025-11-15	AKTION (AIRPORT)	6	38	2025-11-15	6	15.6016
643	2025-11-16	AKTION (AIRPORT)	6	13	2025-11-16	6	33.7949
643	2025-11-17	AKTION (AIRPORT)	6	63	2025-11-17	6	91.3047
643	2025-11-18	AKTION (AIRPORT)	6	88	2025-11-18	6	100
643	2025-11-19	AKTION (AIRPORT)	6	63	2025-11-19	6	99.7598
643	2025-11-20	AKTION (AIRPORT)	6	88	2025-11-20	6	96.9004
643	2025-11-21	AKTION (AIRPORT)	6	63	2025-11-21	6	96.9121
643	2025-11-22	AKTION (AIRPORT)	6	75	2025-11-22	6	86.5273
643	2025-11-23	AKTION (AIRPORT)	6	63	2025-11-23	6	77.0332
643	2025-11-24	AKTION (AIRPORT)	6	25	2025-11-24	6	47.7539
643	2025-11-25	AKTION (AIRPORT)	6	63	2025-11-25	6	99.9609
643	2025-11-26	AKTION (AIRPORT)	6	38	2025-11-26	6	57.2539
643	2025-11-27	AKTION (AIRPORT)	6	100	2025-11-27	6	99.8164
643	2025-11-28	AKTION (AIRPORT)	6	88	2025-11-28	6	99.9961
643	2025-11-29	AKTION (AIRPORT)	6	75	2025-11-29	6	99.1152
643	2025-11-30	AKTION (AIRPORT)	6	63	2025-11-30	6	69.3125
648	2025-11-01	LARISSA (AIRPORT)	6	63	2025-11-01	6	81.1406
648	2025-11-02	LARISSA (AIRPORT)	6	50	2025-11-02	6	3.18359
648	2025-11-03	LARISSA (AIRPORT)	6	25	2025-11-03	6	2.69727
648	2025-11-04	LARISSA (AIRPORT)	6	75	2025-11-04	6	95.5391
648	2025-11-05	LARISSA (AIRPORT)	6	88	2025-11-05	6	100
648	2025-11-06	LARISSA (AIRPORT)	6	88	2025-11-06	6	95.0781
648	2025-11-07	LARISSA (AIRPORT)	6	63	2025-11-07	6	46.4941
648	2025-11-08	LARISSA (AIRPORT)	6	75	2025-11-08	6	99.5508
648	2025-11-09	LARISSA (AIRPORT)	6	63	2025-11-09	6	100
648	2025-11-10	LARISSA (AIRPORT)	6	88	2025-11-10	6	51.6387
648	2025-11-11	LARISSA (AIRPORT)	6	25	2025-11-11	6	17.1074
648	2025-11-12	LARISSA (AIRPORT)	6	38	2025-11-12	6	88.8086
648	2025-11-13	LARISSA (AIRPORT)	6	25	2025-11-13	6	68.2988
648	2025-11-14	LARISSA (AIRPORT)	6	13	2025-11-14	6	0
648	2025-11-15	LARISSA (AIRPORT)	6	38	2025-11-15	6	0
648	2025-11-16	LARISSA (AIRPORT)	6	63	2025-11-16	6	6.95898
648	2025-11-17	LARISSA (AIRPORT)	6	50	2025-11-17	6	89.8262
648	2025-11-18	LARISSA (AIRPORT)	6	75	2025-11-18	6	99.918
648	2025-11-19	LARISSA (AIRPORT)	6	63	2025-11-19	6	94.5273
648	2025-11-20	LARISSA (AIRPORT)	6	75	2025-11-20	6	97.0488
648	2025-11-21	LARISSA (AIRPORT)	6	63	2025-11-21	6	96.6074
648	2025-11-22	LARISSA (AIRPORT)	6	38	2025-11-22	6	33.4297
648	2025-11-23	LARISSA (AIRPORT)	6	38	2025-11-23	6	19.5273
648	2025-11-24	LARISSA (AIRPORT)	6	25	2025-11-24	6	0
648	2025-11-25	LARISSA (AIRPORT)	6	50	2025-11-25	6	17.9648
648	2025-11-26	LARISSA (AIRPORT)	6	63	2025-11-26	6	32.6387
648	2025-11-27	LARISSA (AIRPORT)	6	88	2025-11-27	6	100
