obs_codes	obs_dates	obs_station_names	obs_tcc_table_h	obs_tcc_table	icon_dates	icon_tcc_table_h	icon_tcc_table
650	2025-11-21	LIMNOS (AIRPORT)	3	63	2025-11-21	3	95.459
650	2025-11-22	LIMNOS (AIRPORT)	3	38	2025-11-22	3	1.73438
650	2025-11-23	LIMNOS (AIRPORT)	3	75	2025-11-23	3	100
650	2025-11-24	LIMNOS (AIRPORT)	3	13	2025-11-24	3	1.32031
650	2025-11-25	LIMNOS (AIRPORT)	3	50	2025-11-25	3	100
650	2025-11-26	LIMNOS (AIRPORT)	3	63	2025-11-26	3	61.2695
650	2025-11-27	LIMNOS (AIRPORT)	3	50	2025-11-27	3	22.4609
650	2025-11-28	LIMNOS (AIRPORT)	3	88	2025-11-28	3	91.541
650	2025-11-29	LIMNOS (AIRPORT)	3	88	2025-11-29	3	100
650	2025-11-30	LIMNOS (AIRPORT)	3	63	2025-11-30	3	52.3066
667	2025-11-01	MYTILINI (AIRPORT)	3	38	2025-11-01	3	100
667	2025-11-02	MYTILINI (AIRPORT)	3	50	2025-11-02	3	41.3516
667	2025-11-03	MYTILINI (AIRPORT)	3	63	2025-11-03	3	43.8594
667	2025-11-04	MYTILINI (AIRPORT)	3	38	2025-11-04	3	90.8125
667	2025-11-05	MYTILINI (AIRPORT)	3	88	2025-11-05	3	100
667	2025-11-06	MYTILINI (AIRPORT)	3	88	2025-11-06	3	100
667	2025-11-07	MYTILINI (AIRPORT)	3	38	2025-11-07	3	62.9492
667	2025-11-08	MYTILINI (AIRPORT)	3	50	2025-11-08	3	100
667	2025-11-09	MYTILINI (AIRPORT)	3	75	2025-11-09	3	100
667	2025-11-10	MYTILINI (AIRPORT)	3	50	2025-11-10	3	100
667	2025-11-11	MYTILINI (AIRPORT)	3	88	2025-11-11	3	100
667	2025-11-12	MYTILINI (AIRPORT)	3	50	2025-11-12	3	75.8105
667	2025-11-13	MYTILINI (AIRPORT)	3	25	2025-11-13	3	34.4727
667	2025-11-14	MYTILINI (AIRPORT)	3	25	2025-11-14	3	0
667	2025-11-15	MYTILINI (AIRPORT)	3	25	2025-11-15	3	0
667	2025-11-16	MYTILINI (AIRPORT)	3	0	2025-11-16	3	100
667	2025-11-17	MYTILINI (AIRPORT)	3	13	2025-11-17	3	25.752
667	2025-11-18	MYTILINI (AIRPORT)	3	38	2025-11-18	3	95.8828
667	2025-11-19	MYTILINI (AIRPORT)	3	75	2025-11-19	3	100
667	2025-11-20	MYTILINI (AIRPORT)	3	63	2025-11-20	3	100
667	2025-11-21	MYTILINI (AIRPORT)	3	25	2025-11-21	3	100
667	2025-11-22	MYTILINI (AIRPORT)	3	63	2025-11-22	3	100
667	2025-11-23	MYTILINI (AIRPORT)	3	75	2025-11-23	3	100
667	2025-11-24	MYTILINI (AIRPORT)	3	25	2025-11-24	3	0
667	2025-11-25	MYTILINI (AIRPORT)	3	25	2025-11-25	3	38.0293
667	2025-11-26	MYTILINI (AIRPORT)	3	75	2025-11-26	3	98.2344
667	2025-11-27	MYTILINI (AIRPORT)	3	25	2025-11-27	3	96.0898
667	2025-11-28	MYTILINI (AIRPORT)	3	88	2025-11-28	3	98.2148
667	2025-11-29	MYTILINI (AIRPORT)	3	100	2025-11-29	3	100
667	2025-11-30	MYTILINI (AIRPORT)	3	88	2025-11-30	3	100
682	2025-11-01	ANDRAVIDA (AIRPORT)	3	88	2025-11-01	3	100
682	2025-11-02	ANDRAVIDA (AIRPORT)	3	63	2025-11-02	3	7.43164
682	2025-11-03	ANDRAVIDA (AIRPORT)	3	38	2025-11-03	3	82.2129
682	2025-11-04	ANDRAVIDA (AIRPORT)	3	75	2025-11-04	3	99.834
682	2025-11-05	ANDRAVIDA (AIRPORT)	3	63	2025-11-05	3	45.6035
682	2025-11-06	ANDRAVIDA (AIRPORT)	3	25	2025-11-06	3	14.2949
682	2025-11-07	ANDRAVIDA (AIRPORT)	3	0	2025-11-07	3	0
682	2025-11-08	ANDRAVIDA (AIRPORT)	3	63	2025-11-08	3	100
682	2025-11-09	ANDRAVIDA (AIRPORT)	3	88	2025-11-09	3	100
682	2025-11-10	ANDRAVIDA (AIRPORT)	3	75	2025-11-10	3	86.7637
682	2025-11-11	ANDRAVIDA (AIRPORT)	3	50	2025-11-11	3	55.3457
682	2025-11-12	ANDRAVIDA (AIRPORT)	3	25	2025-11-12	3	100
682	2025-11-13	ANDRAVIDA (AIRPORT)	3	0	2025-11-13	3	0
682	2025-11-14	ANDRAVIDA (AIRPORT)	3	0	2025-11-14	3	67.7285
682	2025-11-15	ANDRAVIDA (AIRPORT)	3	13	2025-11-15	3	42.5137
682	2025-11-16	ANDRAVIDA (AIRPORT)	3	13	2025-11-16	3	78.4355
682	2025-11-17	ANDRAVIDA (AIRPORT)	3	0	2025-11-17	3	100
682	2025-11-18	ANDRAVIDA (AIRPORT)	3	38	2025-11-18	3	97.9922
682	2025-11-19	ANDRAVIDA (AIRPORT)	3	75	2025-11-19	3	100
682	2025-11-21	ANDRAVIDA (AIRPORT)	3	38	2025-11-21	3	44.4883
682	2025-11-22	ANDRAVIDA (AIRPORT)	3	38	2025-11-22	3	52.0312
682	2025-11-23	ANDRAVIDA (AIRPORT)	3	63	2025-11-23	3	61.6797
682	2025-11-24	ANDRAVIDA (AIRPORT)	3	75	2025-11-24	3	66.627
682	2025-11-25	ANDRAVIDA (AIRPORT)	3	38	2025-11-25	3	94.2852
682	2025-11-26	ANDRAVIDA (AIRPORT)	3	63	2025-11-26	3	52.541
682	2025-11-27	ANDRAVIDA (AIRPORT)	3	75	2025-11-27	3	100
682	2025-11-28	ANDRAVIDA (AIRPORT)	3	88	2025-11-28	3	100
682	2025-11-29	ANDRAVIDA (AIRPORT)	3	88	2025-11-29	3	100
