obs_codes	obs_dates	obs_station_names	obs_td_table_h	obs_td_table	icon_dates	icon_td_table_h	icon_td_table
627	2025-11-08	ALEXANDROUPOLI (AIRPORT)	9	15.75	2025-11-08	9	14.9309
627	2025-11-09	ALEXANDROUPOLI (AIRPORT)	9	18.25	2025-11-09	9	17.2199
627	2025-11-10	ALEXANDROUPOLI (AIRPORT)	9	16.75	2025-11-10	9	15.3207
627	2025-11-11	ALEXANDROUPOLI (AIRPORT)	9	18.45	2025-11-11	9	14.5424
627	2025-11-12	ALEXANDROUPOLI (AIRPORT)	9	9.15	2025-11-12	9	7.9838
627	2025-11-13	ALEXANDROUPOLI (AIRPORT)	9	9.95	2025-11-13	9	7.8916
627	2025-11-14	ALEXANDROUPOLI (AIRPORT)	9	11.25	2025-11-14	9	8.65582
627	2025-11-15	ALEXANDROUPOLI (AIRPORT)	9	11.75	2025-11-15	9	8.9554
627	2025-11-16	ALEXANDROUPOLI (AIRPORT)	9	11.95	2025-11-16	9	12.007
627	2025-11-17	ALEXANDROUPOLI (AIRPORT)	9	14.75	2025-11-17	9	14.1249
627	2025-11-18	ALEXANDROUPOLI (AIRPORT)	9	14.25	2025-11-18	9	16.3576
627	2025-11-19	ALEXANDROUPOLI (AIRPORT)	9	16.75	2025-11-19	9	16.3433
627	2025-11-20	ALEXANDROUPOLI (AIRPORT)	9	15.95	2025-11-20	9	16.1609
627	2025-11-21	ALEXANDROUPOLI (AIRPORT)	9	16.25	2025-11-21	9	16.4785
627	2025-11-22	ALEXANDROUPOLI (AIRPORT)	9	17.15	2025-11-22	9	16.5361
627	2025-11-23	ALEXANDROUPOLI (AIRPORT)	9	13.95	2025-11-23	9	13.4614
627	2025-11-24	ALEXANDROUPOLI (AIRPORT)	9	8.95	2025-11-24	9	6.52618
627	2025-11-25	ALEXANDROUPOLI (AIRPORT)	9	11.25	2025-11-25	9	10.8189
627	2025-11-26	ALEXANDROUPOLI (AIRPORT)	9	15.65	2025-11-26	9	15.4481
627	2025-11-27	ALEXANDROUPOLI (AIRPORT)	9	15.25	2025-11-27	9	14.8783
627	2025-11-28	ALEXANDROUPOLI (AIRPORT)	9	11.95	2025-11-28	9	13.3557
627	2025-11-29	ALEXANDROUPOLI (AIRPORT)	9	11.15	2025-11-29	9	12.1368
627	2025-11-30	ALEXANDROUPOLI (AIRPORT)	9	7.25	2025-11-30	9	6.18619
632	2025-11-01	KOZANI (AIRPORT)	9	9.45	2025-11-01	9	8.32347
632	2025-11-02	KOZANI (AIRPORT)	9	10.45	2025-11-02	9	10.4472
632	2025-11-03	KOZANI (AIRPORT)	9	8.95	2025-11-03	9	11.8185
632	2025-11-04	KOZANI (AIRPORT)	9	8.45	2025-11-04	9	8.68332
632	2025-11-05	KOZANI (AIRPORT)	9	5.25	2025-11-05	9	4.7442
632	2025-11-06	KOZANI (AIRPORT)	9	6.95	2025-11-06	9	7.5359
632	2025-11-07	KOZANI (AIRPORT)	9	9.45	2025-11-07	9	9.03732
632	2025-11-09	KOZANI (AIRPORT)	9	11.75	2025-11-09	9	11.0168
632	2025-11-10	KOZANI (AIRPORT)	9	13.95	2025-11-10	9	11.7826
632	2025-11-11	KOZANI (AIRPORT)	9	8.75	2025-11-11	9	9.29138
632	2025-11-12	KOZANI (AIRPORT)	9	3.45	2025-11-12	9	4.79434
632	2025-11-13	KOZANI (AIRPORT)	9	4.45	2025-11-13	9	2.25879
632	2025-11-14	KOZANI (AIRPORT)	9	3.45	2025-11-14	9	4.39215
632	2025-11-15	KOZANI (AIRPORT)	9	6.25	2025-11-15	9	5.01399
632	2025-11-16	KOZANI (AIRPORT)	9	5.95	2025-11-16	9	5.07144
632	2025-11-17	KOZANI (AIRPORT)	9	6.95	2025-11-17	9	5.84659
632	2025-11-18	KOZANI (AIRPORT)	9	12.65	2025-11-18	9	10.9748
632	2025-11-19	KOZANI (AIRPORT)	9	12.45	2025-11-19	9	10.7925
632	2025-11-20	KOZANI (AIRPORT)	9	7.25	2025-11-20	9	10.5721
632	2025-11-21	KOZANI (AIRPORT)	9	10.65	2025-11-21	9	10.7725
632	2025-11-22	KOZANI (AIRPORT)	9	7.45	2025-11-22	9	8.67186
632	2025-11-23	KOZANI (AIRPORT)	9	5.45	2025-11-23	9	3.96826
632	2025-11-24	KOZANI (AIRPORT)	9	-3.75	2025-11-24	9	0.523254
632	2025-11-25	KOZANI (AIRPORT)	9	3.25	2025-11-25	9	3.11967
632	2025-11-26	KOZANI (AIRPORT)	9	7.75	2025-11-26	9	8.28697
632	2025-11-27	KOZANI (AIRPORT)	9	9.75	2025-11-27	9	9.33824
632	2025-11-28	KOZANI (AIRPORT)	9	7.25	2025-11-28	9	5.55882
